cls_type_id,code,parent_code,name,color
7,01.006.0161.0781,01.006.0161,"СОСИСКИ, САРДЕЛЬКИ, ШПИКАЧИКИ ШТУЧНАЯ",CCCCCC
7,01.006.0211.0920,01.006.0211,"ХОЛОДЦЫ, ЗАЛИВНОЕ ВЕС",CCCCCC
7,01.006.0211.0921,01.006.0211,"ХОЛОДЦЫ, ЗАЛИВНОЕ ШТУЧНЫЕ",CCCCCC
7,01.007.0054.0259,01.007.0054,ИКРА ЛОСОСЕВЫХ ВИДОВ РЫБ,CCCCCC
7,01.007.0054.0260,01.007.0054,ИКРА ЛОСОСЕВЫХ ВИДОВ РЫБ ВЕСОВАЯ,CCCCCC
7,01.007.0054.0262,01.007.0054,ИКРА ОСЕТРОВЫХ РЫБ,CCCCCC
7,01.007.0054.0263,01.007.0054,ИКРА ПРОЧИХ ВИДОВ РЫБ,CCCCCC
7,01.007.0093.0444,01.007.0093,МАСЛА РЫБНЫЕ В УПАКОВКЕ,CCCCCC
7,01.007.0124.0569,01.007.0124,ПАШТЕТЫ ИЗ РЫБЫ В УПАКОВКЕ 1,CCCCCC
7,01.007.0134.0632,01.007.0134,ПО РЫБА ВЯЛЕНАЯ ВЕСОВАЯ,CCCCCC
7,01.007.0134.0633,01.007.0134,ПО РЫБА ГОРЯЧЕГО КОПЧЕНИЯ ВЕС,CCCCCC
7,01.007.0134.0634,01.007.0134,ПО РЫБА ХОЛОДНОГО КОПЧЕНИЯ ВЕС,CCCCCC
7,01.007.0153.0682,01.007.0153,РЫБА ВЯЛЕНАЯ В УПАКОВКЕ (В КИЛОГРАММАХ),CCCCCC
7,01.007.0153.0683,01.007.0153,РЫБА ВЯЛЕНАЯ В УПАКОВКЕ (В ШТУКАХ),CCCCCC
7,01.007.0153.0681,01.007.0153,РЫБА ВЯЛЕНАЯ ВЕСОВАЯ,CCCCCC
7,01.007.0154.0686,01.007.0154,РЫБА ГОРЯЧЕГО КОПЧЕНИЯ В УПАКОВКЕ (В ШТУКАХ),CCCCCC
7,01.007.0154.0684,01.007.0154,РЫБА ГОРЯЧЕГО КОПЧЕНИЯ ВЕСОВАЯ,CCCCCC
7,01.007.0156.0699,01.007.0156,РЫБА СОЛЕНАЯ В УПАКОВКЕ (В КИЛОГРАММАХ),CCCCCC
7,01.007.0156.0700,01.007.0156,РЫБА СОЛЕНАЯ В УПАКОВКЕ (В ШТУКАХ),CCCCCC
7,01.007.0156.0698,01.007.0156,РЫБА СОЛЕНАЯ ВЕСОВАЯ,CCCCCC
7,01.007.0157.0702,01.007.0157,РЫБА ХОЛОДНОГО КОПЧЕНИЯ В УПАКОВКЕ (В КИЛОГРАММАХ),CCCCCC
7,01.007.0157.0703,01.007.0157,РЫБА ХОЛОДНОГО КОПЧЕНИЯ В УПАКОВКЕ (В ШТУКАХ),CCCCCC
7,01.007.0157.0701,01.007.0157,РЫБА ХОЛОДНОГО КОПЧЕНИЯ ВЕСОВАЯ,CCCCCC
7,01.009.0045.0752,01.009.0045,СМЕСИ БЕЗМОЛОЧНЫЕ,CCCCCC
7,01.009.0045.0754,01.009.0045,СМЕСИ МОЛОЧНЫЕ,CCCCCC
7,01.009.0059.0294,01.009.0059,КАШИ ДЕТСКИЕ БЕЗМОЛОЧНЫЕ СУХИЕ,CCCCCC
7,01.009.0059.0296,01.009.0059,КАШИ ДЕТСКИЕ МОЛОЧНЫЕ СУХИЕ,CCCCCC
7,01.009.0059.0821,01.009.0059,СУПЫ ДЕТСКИЕ,CCCCCC
7,01.009.0076.0665,01.009.0076,ПЮРЕ МЯСНОЕ,CCCCCC
7,01.009.0076.0666,01.009.0076,ПЮРЕ ОВОЩНОЕ,CCCCCC
7,01.009.0076.0667,01.009.0076,ПЮРЕ РЫБНОЕ,CCCCCC
7,01.009.0076.0668,01.009.0076,ПЮРЕ ФРУКТОВОЕ,CCCCCC
7,01.009.0094.0445,01.009.0094,МАСЛО ДЕТСКОЕ 1,CCCCCC
7,01.009.0112.0519,01.009.0112,НАПИТКИ ДЕТСКИЕ ВОДА,CCCCCC
