name,code,parent_code,cls_type_id
КОЛБАСЫ СЫРОКОПЧЕНЫЕ,01.006.0067,01.006,7
КОЛБАСЫ СЫРОКОПЧЕНЫЕ ВЕС,01.006.0067.0325,01.006.0067,7
КОЛБАСЫ СЫРОКОПЧЕНЫЕ НАРЕЗКА ВЕС,01.006.0067.0326,01.006.0067,7
КОЛБАСЫ СЫРОКОПЧЕНЫЕ НАРЕЗКА ШТУЧНАЯ,01.006.0067.0327,01.006.0067,7
КОЛБАСЫ СЫРОКОПЧЕНЫЕ ШТУЧНЫЕ,01.006.0067.0328,01.006.0067,7
ПАШТЕТЫ,01.006.0123,01.006,7
ПАШТЕТЫ ВЕС,01.006.0123.0567,01.006.0123,7
ПАШТЕТЫ ШТУЧНЫЕ,01.006.0123.0571,01.006.0123,7
ПО ГАСТРОНОМИЯ МЯСНАЯ,01.006.0133,01.006,7
ПО КОЛБАСЫ СЫРОКОПЧЕНЫЕ ВЕС,01.006.0133.0620,01.006.0133,7
ПО СНЕКИ ВЕСОВЫЕ,01.006.0133.0635,01.006.0133,7
ПО СНЕКИ ШТУЧНЫЕ,01.006.0133.0636,01.006.0133,7
САЛО,01.006.0159,01.006,7
САЛО ВЕСОВОЕ,01.006.0159.0708,01.006.0159,7
САЛО КОПЧЕНОЕ ПРОМ.ПР-ВО,01.006.0159.0709,01.006.0159,7
САЛО СОЛЕНОЕ ПРОМ.ПР-ВО,01.006.0159.0710,01.006.0159,7
"САРДЕЛЬКИ, СОСИСКИ, ШПИКАЧКИ",01.006.0161,01.006,7
"СОСИСКИ, САРДЕЛЬКИ, ШПИКАЧИКИ ВЕСОВАЯ",01.006.0161.0780,01.006.0161,7
"СОСИСКИ, САРДЕЛЬКИ, ШПИКАЧИКИ ШТУЧНАЯ",01.006.0161.0781,01.006.0161,7
"ХОЛОДЦЫ, ЗАЛИВНОЕ",01.006.0211,01.006,7
"ХОЛОДЦЫ, ЗАЛИВНОЕ ВЕС",01.006.0211.0920,01.006.0211,7
"ХОЛОДЦЫ, ЗАЛИВНОЕ ШТУЧНЫЕ",01.006.0211.0921,01.006.0211,7
ГАСТРОНОМИЯ РЫБНАЯ,01.007,01,7
ИКРА,01.007.0054,01.007,7
ИКРА ЛОСОСЕВЫХ ВИДОВ РЫБ,01.007.0054.0259,01.007.0054,7
ИКРА ЛОСОСЕВЫХ ВИДОВ РЫБ ВЕСОВАЯ,01.007.0054.0260,01.007.0054,7
ИКРА ОСЕТРОВЫХ РЫБ,01.007.0054.0262,01.007.0054,7
ИКРА ПРОЧИХ ВИДОВ РЫБ,01.007.0054.0263,01.007.0054,7
МАСЛА РЫБНЫЕ,01.007.0093,01.007,7
МАСЛА РЫБНЫЕ В УПАКОВКЕ,01.007.0093.0444,01.007.0093,7
ПАШТЕТЫ ИЗ РЫБЫ В УПАКОВКЕ,01.007.0124,01.007,7
ПАШТЕТЫ ИЗ РЫБЫ В УПАКОВКЕ 1,01.007.0124.0569,01.007.0124,7
ПО ГАСТРОНОМИЯ РЫБНАЯ,01.007.0134,01.007,7
ПО РЫБА ВЯЛЕНАЯ ВЕСОВАЯ,01.007.0134.0632,01.007.0134,7
ПО РЫБА ГОРЯЧЕГО КОПЧЕНИЯ ВЕС,01.007.0134.0633,01.007.0134,7
ПО РЫБА ХОЛОДНОГО КОПЧЕНИЯ ВЕС,01.007.0134.0634,01.007.0134,7
РЫБА ВЯЛЕНАЯ,01.007.0153,01.007,7
РЫБА ВЯЛЕНАЯ В УПАКОВКЕ (В КИЛОГРАММАХ),01.007.0153.0682,01.007.0153,7
РЫБА ВЯЛЕНАЯ В УПАКОВКЕ (В ШТУКАХ),01.007.0153.0683,01.007.0153,7
РЫБА ВЯЛЕНАЯ ВЕСОВАЯ,01.007.0153.0681,01.007.0153,7
РЫБА ГОРЯЧЕГО КОПЧЕНИЯ,01.007.0154,01.007,7
РЫБА ГОРЯЧЕГО КОПЧЕНИЯ В УПАКОВКЕ (В ШТУКАХ),01.007.0154.0686,01.007.0154,7
РЫБА ГОРЯЧЕГО КОПЧЕНИЯ ВЕСОВАЯ,01.007.0154.0684,01.007.0154,7
РЫБА СОЛЕНАЯ,01.007.0156,01.007,7
РЫБА СОЛЕНАЯ В УПАКОВКЕ (В КИЛОГРАММАХ),01.007.0156.0699,01.007.0156,7
РЫБА СОЛЕНАЯ В УПАКОВКЕ (В ШТУКАХ),01.007.0156.0700,01.007.0156,7
РЫБА СОЛЕНАЯ ВЕСОВАЯ,01.007.0156.0698,01.007.0156,7
РЫБА ХОЛОДНОГО КОПЧЕНИЯ,01.007.0157,01.007,7
РЫБА ХОЛОДНОГО КОПЧЕНИЯ В УПАКОВКЕ (В КИЛОГРАММАХ),01.007.0157.0702,01.007.0157,7
РЫБА ХОЛОДНОГО КОПЧЕНИЯ В УПАКОВКЕ (В ШТУКАХ),01.007.0157.0703,01.007.0157,7
РЫБА ХОЛОДНОГО КОПЧЕНИЯ ВЕСОВАЯ,01.007.0157.0701,01.007.0157,7
ДЕТСКОЕ ПИТАНИЕ,01.009,01,7
ЗАМЕНИТЕЛИ МОЛОКА,01.009.0045,01.009,7
СМЕСИ БЕЗМОЛОЧНЫЕ,01.009.0045.0752,01.009.0045,7
СМЕСИ МОЛОЧНЫЕ,01.009.0045.0754,01.009.0045,7
КАШИ ДЕТСКИЕ,01.009.0059,01.009,7
КАШИ ДЕТСКИЕ БЕЗМОЛОЧНЫЕ СУХИЕ,01.009.0059.0294,01.009.0059,7
КАШИ ДЕТСКИЕ МОЛОЧНЫЕ СУХИЕ,01.009.0059.0296,01.009.0059,7
СУПЫ ДЕТСКИЕ,01.009.0059.0821,01.009.0059,7
КОНСЕРВЫ ДЕТСКОЕ,01.009.0076,01.009,7
ПЮРЕ МЯСНОЕ,01.009.0076.0665,01.009.0076,7
ПЮРЕ ОВОЩНОЕ,01.009.0076.0666,01.009.0076,7
ПЮРЕ РЫБНОЕ,01.009.0076.0667,01.009.0076,7
ПЮРЕ ФРУКТОВОЕ,01.009.0076.0668,01.009.0076,7
МАСЛО ДЕТСКОЕ,01.009.0094,01.009,7
МАСЛО ДЕТСКОЕ 1,01.009.0094.0445,01.009.0094,7
НАПИТКИ ДЕТСКИЕ,01.009.0112,01.009,7
НАПИТКИ ДЕТСКИЕ ВОДА,01.009.0112.0519,01.009.0112,7
НАПИТКИ ДЕТСКИЕ СОКИ,01.009.0112.0520,01.009.0112,7
НАПИТКИ ДЕТСКИЕ ЧАЙ,01.009.0112.0521,01.009.0112,7
"ПЕЧЕНЬЕ, БАТОНЧИКИ ДЕТСКИЕ",01.009.0130,01.009,7
БАТОНЧИКИ ДЕТСКИЕ,01.009.0130.0039,01.009.0130,7
ПЕЧЕНЬЕ ДЕТСКОЕ,01.009.0130.0581,01.009.0130,7
ЗАМОРОЖЕННАЯ РЫБА И МОРЕПРОДУКТЫ,01.010,01,7
МОРЕПРОДУКТЫ ЗАМОРОЖЕННЫЕ,01.010.0100,01.010,7
ГРЕБЕШКИ ЗАМОРОЖЕННЫЕ,01.010.0100.0140,01.010.0100,7
ДРУГИЕ ДЕЛИКАТЕСЫ ЗАМОРОЖЕННЫЕ,01.010.0100.0191,01.010.0100,7
ИЗДЕЛИЯ ИЗ СУРИМИ ЗАМОРОЖЕННЫЕ,01.010.0100.0257,01.010.0100,7
КАЛЬМАРЫ ЗАМОРОЖЕННЫЕ,01.010.0100.0285,01.010.0100,7
КАРАКАТИЦА ВЕСОВАЯ,01.010.0100.0286,01.010.0100,7
КРЕВЕТКИ ЗАМОРОЖЕННЫЕ,01.010.0100.0375,01.010.0100,7
МИДИИ ЗАМОРОЖЕННЫЕ,01.010.0100.0459,01.010.0100,7
МОРСКОЙ КОКТЕЙЛЬ ВЕСОВОЙ,01.010.0100.0478,01.010.0100,7
ОСЬМИНОГИ ЗАМОРОЖЕННЫЕ,01.010.0100.0550,01.010.0100,7
ПОЛУФАБРИКАТЫ ЗАМОРОЖЕНЫЕ РЫБНЫЕ,01.010.0137,01.010,7
П/Ф ИЗ РЫБЫ ЗАМОРОЖЕННЫЕ,01.010.0137.0662,01.010.0137,7
РЫБА ЗАМОРОЖЕННАЯ ФАРШ,01.010.0137.0694,01.010.0137,7
РЫБА ЗАМОРОЖЕННАЯ,01.010.0155,01.010,7
РЫБА ЗАМОРОЖЕННАЯ НАБОРЫ ДЛЯ УХИ,01.010.0155.0687,01.010.0155,7
РЫБА ЗАМОРОЖЕННАЯ НЕРАЗДЕЛАННАЯ В УПАКОВКЕ (В КИЛОГРАММАХ),01.010.0155.0689,01.010.0155,7
РЫБА ЗАМОРОЖЕННАЯ НЕРАЗДЕЛАННАЯ В УПАКОВКЕ (В ШТУКАХ),01.010.0155.0690,01.010.0155,7
РЫБА ЗАМОРОЖЕННАЯ НЕРАЗДЕЛАННАЯ ВЕСОВАЯ,01.010.0155.0688,01.010.0155,7
РЫБА ЗАМОРОЖЕННАЯ СТЕЙК В УПАКОВКЕ (В КИЛОГРАММАХ),01.010.0155.0692,01.010.0155,7
РЫБА ЗАМОРОЖЕННАЯ СТЕЙК В УПАКОВКЕ (В ШТУКАХ),01.010.0155.0693,01.010.0155,7
РЫБА ЗАМОРОЖЕННАЯ СТЕЙК ВЕСОВАЯ,01.010.0155.0691,01.010.0155,7
РЫБА ЗАМОРОЖЕННАЯ ФИЛЕ В УПАКОВКЕ (В КИЛОГРАММАХ),01.010.0155.0696,01.010.0155,7
РЫБА ЗАМОРОЖЕННАЯ ФИЛЕ ВЕСОВАЯ,01.010.0155.0695,01.010.0155,7
РЫБА ЗАМОРОЖЕННАЯ ФИЛЕ  В УПАКОВКЕ (В ШТУКАХ),01.010.0155.0697,01.010.0155,7
